0,1,2
205,205,0
53,118,1
28,140,1
213,227,0
224,224,0
237,191,0
227,212,0
267,224,0
254,265,0
251,221,0
232,248,0
265,249,0
311,259,0
27,86,1
20,135,1
55,157,1
17,190,1
35,157,1
33,193,1
33,242,1
20,163,1
14,229,1
50,223,1
69,169,1
162,8,0
168,58,0
188,75,0
209,44,0
224,19,0
248,39,0
199,11,0
187,61,0
226,94,0
180,22,0
42,353,0
44,298,0
13,318,0
20,356,0
108,356,0
143,369,0
89,381,0
66,362,0
77,340,0
77,340,0
56,323,0
69,309,0
110,317,0
122,337,0
118,383,0
340,102,1
361,136,0
361,136,1
376,105,1
386,163,1
386,215,1
389,129,1
370,184,1
355,168,1
350,140,1
329,135,1
367,107,1
284,356,1
307,362,1
348,334,1
355,373,1
378,331,1
362,342,1
365,350,1
376,376,1
331,365,1
336,350,1
315,386,1
350,386,1
387,362,1
